1001,1
1002,1
1003,1
1005,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1032,1
1033,1
1034,1
1035,1
1036,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1054,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1079,1
1080,1
1081,1
1082,1
1085,1
1086,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1133,1
1136,1
1137,1
1142,1
1143,1
1144,1
1146,1
1147,1
1148,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1172,1
1173,1
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1183,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1193,1
1196,1
1198,1
1199,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1239,1
1240,1
1241,1
1242,1
1244,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
260,1
261,1
259,1
262,1
263,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
34,1
25,1
210,1
204,1
206,1
205,1
207,1
209,1
259,1
252,1
103,1
141,1
181,1
137,1
117,1
165,1
163,1
164,1
162,1
182,1
102,1
143,1
145,1
116,1
115,1
133,1
136,1
134,1
132,1
142,1
139,1
140,1
98,1
99,1
100,1
78,1
79,1
58,1
171,1
87,1
180,1
175,1
57,1
59,1
90,1
89,1
172,1
173,1
179,1
178,1
177,1
186,1
4,1
2,1
1,1
3,1
129,1
125,1
135,1
131,1
